,year,name,href,type,boxoffice,mean_price,mean_people,times
81,2011,龙门飞甲,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588865,动作,39664,44,41,2011-12-15
82,2011,失恋33天,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=592414,爱情,32051,32,37,2011-11-08
83,2011,蓝精灵,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=591934,动画,25221,38,38,2011-08-10
84,2011,速度与激情5,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589909,动作/剧情,25215,32,38,2011-05-12
85,2011,洛杉矶之战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=306340,科幻/战争,22600,32,32,2011-03-18
86,2011,新少林寺,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573920,动作,21253,36,34,2011-01-19
87,2011,窃听风云2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=590196,动作,20887,34,30,2011-08-18
88,2011,武林外传,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588420,喜剧,19600,36,36,2011-01-26
89,2011,将爱情进行到底,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588593,爱情,19363,35,27,2011-02-12
90,2011,武林外传,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=567900,古装/喜剧,18648,36,33,
91,2011,猩球崛起,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=592671,科幻/动作,18313,31,31,2011-10-28
92,2011,武侠,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589482,动作,17017,34,29,2011-07-04
93,2011,白蛇传说,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=587844,爱情,16878,33,25,2011-09-28
94,2011,最强囍事,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589812,喜剧,16493,34,35,2011-01-31
95,2011,让子弹飞,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573439,喜剧,16310,38,28,2010-12-16
96,2011,关云长,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=587699,动作,15739,34,26,2011-04-26
97,2011,画壁,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589472,奇幻,14934,33,26,2011-09-29
